Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
AAUSat-4;NR;University of Aalborg;Denmark;Civil;Earth Observation;4/25/2016;University of Aalborg;Denmark;Guiana Space Center;Soyuz 2.1a
ABS-2;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;2/6/2014;Space Systems/Loral;USA;Guiana Space Center;Ariane  5 ECA
ABS-2A;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;6/15/2016;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9
ABS-3;Philippines;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;8/19/1997;Space Systems/Loral;USA;Xichang Satellite Launch Center;Long March CZ3B
ABS-3A;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;3/2/2015;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9
ABS-4;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;3/13/2004;Space Systems/Loral;USA;Cape Canaveral;Atlas 3
ABS-6;NR;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;9/26/1999;Lockheed Martin;USA;Baikonur Cosmodrome;Proton
ABS-7;South Korea;Asia Broadcast Satellite Ltd.;Multinational;Commercial;Communications;9/4/1999;Lockheed Martin Astro Space;USA;Guiana Space Center;Ariane
USA 139;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;5/9/1998;TRW Space and Electronics;USA;Cape Canaveral;Titan IVA
USA 171;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;9/9/2003;TRW Space and Electronics;USA;Cape Canaveral;Titan IV
USA 202;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;1/18/2009;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 223;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;11/21/2010;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 237;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;6/29/2012;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 268;NR;National Reconnaissance Office (NRO);USA;Military;Earth Observation;6/11/2016;National Reconnaissance Laboratory (?);USA;Cape Canaveral;Delta 4 Heavy
USA 235;USA;US Air Force;USA;Military;Communications;5/3/2012;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
USA 246;NR;US Air Force;USA;Military;Communications;9/18/2013;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
Aeneas;USA;Department of Homeland Security;USA;Government;Technology Development;9/13/2012;University of Southern California;USA;Vandenberg AFB;Atlas 5
Aerocube 4.5A;USA;Aerospace Corporation;USA;Commercial;Technology Development;9/13/2012;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 4.5B;USA;Aerospace Corporation;USA;Commercial;Technology Development;9/13/2012;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5A;NR;Aerospace Corporation;USA;Commercial;Technology Development;12/6/2013;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5B;NR;Aerospace Corporation;USA;Commercial;Technology Development;12/6/2013;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 5C;NR;Aerospace Corporation;USA;Commercial;Technology Development;10/8/2015;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 6A;NR;Aerospace Corporation;USA;Commercial;Technology Development;6/19/2014;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr
Aerocube 6B;NR;Aerospace Corporation;USA;Commercial;Technology Development;6/19/2014;Aerospace Corporation;USA;Dombarovsky Air Base;Dnepr
Aerocube 7A;NR;Aerospace Corporation;USA;Commercial;Technology Development;10/8/2015;Aerospace Corporation;USA;Vandenberg AFB;Atlas 5
Aerocube 8A;NR;Aerospace Corporation;USA;Commercial;Technology Development;5/20/2015;Aerospace Corporation;USA;Cape Canaveral;Atlas 5
Aerocube 8B;NR;Aerospace Corporation;USA;Commercial;Technology Development;5/20/2015;Aerospace Corporation;USA;Cape Canaveral;Atlas 5
Eutelsat 28B;France;European Telecommunications Satellite Consortium (EUTELSAT);Multinational;Commercial;Communications;12/20/2008;EADS Astrium;France;Guiana Space Center;Ariane 5
Afristar ;USA;1Worldspace;USA;Commercial;Communications;10/28/1998;Matra Marconi Space-France;France;Guiana Space Center;Ariane 44L
AIM;USA;Center for Atmospheric Sciences, Hampton University/NASA;USA;Government;Earth Observation;4/25/2007;Orbital Sciences Corp.;USA;Vandenberg AFB;Pegasus XL
AISat-1;Germany;German Aerospace Center (DLR);Germany;Government;Communications;6/30/2014;German Aerospace Center (DLR);Germany;Satish Dhawan Space Center;PSLV-CA
AISSat-1;Norway;Norwegian Coastal Admnistration;Norway;Government;Communications;7/12/2010;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Canada;Satish Dhawan Space Center;PSLV
AISSat-2;Norway;Norwegian Coastal Admnistration;Norway;Government;Communications;7/8/2014;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Norway/Canada;Baikonur Cosmodrome;Soyuz-2.1b
