Launch.Site;number;geoLon;geoLat
Baikonur Cosmodrome;259;63.31336;45.859478
Cape Canaveral;210;-80.60771;28.392218
Dombarovsky Air Base;65;59.84240;51.094366
Guiana Space Center;222;-52.77235;5.207912
International Space Station;29;-81.51594;28.330790
Jiuquan Satellite Launch Center;59;100.28833;40.954660
Kodiak Launch Complex;5;-152.40413;57.790832
Kwajalein Island;2;167.72800;8.730619
Naro Space Center;1;127.53411;34.441730
Palmachim Launch Complex;4;34.68018;31.884686
Plesetsk Cosmodrome;91;40.57484;62.927855
Satish Dhawan;1;80.22655;13.725865
Satish Dhawan Space Center;73;80.22655;13.725865
Satish Dhawan Space Center;1;80.22655;13.725865
Satish Dhawan Space Centre;12;80.22655;13.725865
Sea Launch;4;-118.22393;33.743406
Sea Launch (Odyssey);25;-118.22393;33.743400
Svobodny Cosmodrome;3;128.00000;51.700000
Taiyuan Launch Center;81;111.72082;38.804986
Tanegashima Space Center;33;130.95750;30.374834
Uchinoura Space Center;3;131.07611;31.251236
Vandenberg AFB;137;-120.57244;34.742027
Vostochny Cosmodrome;3;128.33411;51.883937
Wallops Island Flight Facility;32;-75.46988;37.936702
Xichang Satellite Launch Center;61;102.24487;27.893082
